word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
accumulate,ә'kju:mjuleit,v. collect or gather,"v. 积聚, 堆积",,2,,gk cet4 cet6 ky toefl ielts gre,4997,5083,d:accumulated/i:accumulating/3:accumulates/p:accumulated,,
accuracy,'ækjurәsi,n. the quality of being near to the true value\nn. (mathematics) the number of significant figures given in a number,"n. 精确, 正确\n[计] 准确度",,,,gk cet4 cet6 ky toefl ielts gre,3958,4076,s:accuracies,,
accurate,'ækjurәt,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy\ns. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct","a. 正确的, 精确的\n[经] 准确的, 精确的",,3,1,cet4 cet6 ky toefl ielts gre,2738,2728,,,
accuse,ә'kju:z,v. bring an accusation against; level a charge against,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",,4,1,gk cet4 cet6 ky toefl ielts gre,1893,2024,d:accused/p:accused/i:accusing/3:accuses,,
accuser,ә'kju:zә,n. someone who imputes guilt or blame,"n. 控诉者, 指责者\n[法] 原告, 指控人, 控告者",,,,ielts,23013,12584,s:accusers,,
achieve,ә'tʃi:v,v. to gain with effort,"vt. 完成, 达到\nvi. 如愿以偿",,4,1,zk gk cet4 cet6 ky toefl ielts,592,1152,d:achieved/i:achieving/p:achieved/3:achieves,,
achievement,ә'tʃi:vmәnt,n the action of accomplishing something,"n. 完成, 成就, 功业",,2,1,gk cet4 cet6 toefl ielts,1978,2021,s:achievements,,
acid,'æsid,n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt\nn. street name for lysergic acid diethylamide\ns. having the characteristics of an acid,"n. 酸, 酸类物质, 尖刻, 迷幻药\na. 酸的, 酸性的, 尖刻的, 敏锐的\n[计] 自动文档互参与索引生成程序",,3,1,gk cet4 cet6 ky toefl ielts,1597,3238,s:acids,,
acknowledge,әk'nɒlidʒ,"v. report the receipt of\nv. express obligation, thanks, or gratitude for\nv. accept as legally binding and valid\nv. accept (someone) to be what is claimed or accept his power and authority","vt. 承认, 告知收悉, 答谢, 报偿\n[经] 承认, 答谢, 收到的通知",,3,1,gk cet4 cet6 ky toefl ielts gre,2105,1654,p:acknowledged/d:acknowledged/3:acknowledges/i:acknowledging,,
acquaint,ә'kweint,v. inform,"vt. 使认识, 介绍",,1,,cet6 ky toefl ielts gre,9574,9630,d:acquainted/i:acquainting/p:acquainted/3:acquaints,,
acquire,ә'kwaiә,v. locate (a moving entity) by means of a tracking system such as radar\nv. win something through one's efforts,"vt. 获得, 学到\n[电] 目标锁定",,3,1,gk cet4 cet6 ky toefl ielts,1407,2063,d:acquired/p:acquired/i:acquiring/3:acquires,,
acquisition,.ækwi'ziʃәn,n. the act of contracting or assuming or acquiring possession of something\nn. something acquired,"n. 获得, 获得物\n[经] 收购, 招揽, 取得",,3,,gk cet4 cet6 ky toefl ielts,2567,3856,s:acquisitions,,
action,'ækʃәn,n. something done (usually as opposed to something said)\nn. the state of being active\nn. the series of events that form a plot\nn. the trait of being active and energetic and forceful,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",,5,1,zk gk cet4 cet6 ky toefl ielts,340,502,s:actions/i:actioning/p:actioned/3:actions,,
actions,,n something done (usually as opposed to something said)\nn the state of being active\nn a military engagement\nn a process existing in or produced by nature (rather than by the intent of human beings)\nn the series of events that form a plot\nn the trait of being active and energetic and forceful\nn the operating part that transmits power to a mechanism\nn a judicial proceeding brought by one party against another; one party prosecutes another for a wrong done or for protection of a right or for prevention of a wrong\nn an act by a government body or supranational organization\nn the most important or interesting work or activity in a specific area or field\nv institute legal proceedings against; file a suit against\nv put in effect,n. 动作；行动（action的复数）,,,,ielts,0,0,0:action/1:s,,
activate,'æktiveit,v. make active or more active\nv. make more adsorptive\nv. aerate (sewage) so as to favor the growth of organisms that decompose organic matter\nv. make (substances) radioactive,"vt. 使活动, 使激活, 正式建成\nvi. 有活力",,1,,ky toefl ielts,4543,6113,d:activated/i:activating/3:activates/p:activated,,
activities,,n any specific behavior\nn the state of being active\nn an organic process that takes place in the body\nn (chemistry) the capacity of a substance to take part in a chemical reaction\nn a process existing in or produced by nature (rather than by the intent of human beings)\nn the trait of being active; moving or acting rapidly and energetically,n. （activity复数形式）活动；活动区；活动性,,,,ielts,0,0,0:activity/1:s,,
activity,æk'tiviti,n. any specific behavior\nn. (chemistry) the capacity of a substance to take part in a chemical reaction,"n. 活动, 行动, 活跃, 活力\n[计] 活动",,4,1,zk gk cet4 ky ielts,412,537,s:activities,,
actor,'æktә,n. a theatrical performer\nn. a person who acts and gets things done,"n. 男演员, 行动者\n[医] 作用物, 反应物",,3,1,gk cet4 ky ielts,2390,1497,s:actors,,
acute,ә'kju:t,a. having or experiencing a rapid onset and short but severe course\ns. extremely sharp or intense\ns. having or demonstrating ability to recognize or draw fine distinctions\na. of an angle; less than 90 degrees,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的\n[医] 急性的; 尖锐的",,2,,gk cet4 cet6 ky toefl ielts gre,3249,5255,s:acutes/t:acutest,,
adapt,ә'dæpt,"v. make fit for, or change to suit a new purpose","vt. 使适应, 改编\nvi. 适应",,2,1,gk cet4 cet6 ky toefl ielts gre,2816,2933,d:adapted/i:adapting/p:adapted/3:adapts,,
addict,ә'dikt,"n. someone who is so ardently devoted to something that it resembles an addiction\nn. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms\nv. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)","vt. 使沉溺, 使上瘾\nn. 入迷的人, 上瘾者",,2,,cet6 ky toefl ielts gre,10019,6091,d:addicted/s:addicts/i:addicting/p:addicted/3:addicts,,
addition,ә'diʃәn,n. a component that is added to something to improve it\nn. the act of adding one thing to another\nn. a quantity that is added\nn. a suburban area laid out in streets and lots for a future residential area,"n. 加法, 增加的人(或物)\n[计] 加法",,4,1,gk cet4 cet6 ky ielts gre,2841,2048,s:additions,,
additional,ә'diʃәnәl,s further or added,"a. 附加的, 另外的, 额外的\n[机] 加添的, 附加的",,,1,cet4 cet6 ky toefl ielts,1310,1319,,,
address,ә'dres,n. (computer science) the code that identifies where a piece of information is stored\nn. the place where a person or organization can be found or communicated with\nn. the act of delivering a formal spoken communication to an audience\nn. the manner of speaking to another individual,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",,4,1,zk gk cet4 cet6 ky toefl ielts gre,1522,1028,d:addressed/i:addressing/s:addresses/p:addressed/3:addresses,,
adept,ә'dept,s. having or showing knowledge and skill and aptitude,"a. 熟练的, 老练的, 巧妙的\nn. 能手, 内行",,1,,toefl ielts gre,13923,10221,s:adepts,,
adequate,'ædikwәt,a. having the requisite qualities or resources to meet a task\ns. sufficient for the purpose\ns. about average; acceptable,"a. 适当的, 足够的\n[法] 胜任的, 适当的, 充分的",,3,1,gk cet4 cet6 ky toefl ielts gre,2398,3297,,,
adhere,әd'hiә,v. be compatible or in accordance with\nv. follow through or carry out a plan without deviation\nv. be a devoted follower or supporter\nv. stick to firmly,"vi. 依附, 粘着, 坚持, 追随, 拥护\nvt. 使粘附",,2,,cet4 cet6 ky toefl ielts gre,6380,6516,d:adhered/i:adhering/p:adhered/3:adheres,,
adjacent,ә'dʒeisәnt,"s. nearest in space or position; immediately adjoining without intervening space\ns. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""\ns. near or close to but not necessarily touching","a. 毗连的, 邻近的, 连接的\n[机] 相邻的, 邻位的, 交界的",,1,,cet6 ky toefl ielts gre,5391,6649,,,
adjoin,ә'dʒɒin,v. attach or add,"v. 邻接, 毗连",,1,,cet6 ky toefl ielts,11337,17562,i:adjoining/3:adjoins/p:adjoined/d:adjoined,,
adjust,ә'dʒʌst,v. alter or regulate so as to achieve accuracy or conform to a standard\nv. adapt or conform oneself to new or different conditions\nv. make correspondent or conformable\nv. decide how much is to be paid on an insurance claim,"vt. 调整, 使适应于, 校准\nvi. 适应于, 被调节, 相互熟悉而适应",,3,1,gk cet4 cet6 ky toefl ielts gre,2811,2300,d:adjusted/i:adjusting/p:adjusted/3:adjusts,,
administer,әd'ministә,v. work in an administrative capacity; supervise or be in charge of\nv. perform (a church sacrament) ritually\nv. give or apply (medications)\nv. direct the taking of,"vt. 管理, 料理, 执行\nvi. 执行遗产管理人的职责, 给予帮助",,2,,ky toefl ielts,3700,3661,d:administered/i:administering/3:administers/p:administered,,
administration,әd.mini'streiʃәn,n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)\nn. the persons (or committees or departments etc.) who make up a body for the purpose of administering something\nn. the act of administering medication\nn. the act of meting out justice according to the law,"n. 行政, 管理, 政府机关\n[化] 给药",,4,,gk cet4 cet6 ky toefl ielts,1383,635,s:administrations,,
administrator,әd'ministreitә,n. someone who administers a business\nn. the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor\nn. someone who manages a government agency or department,"n. 管理人, 行政官\n[经] 遗产管理人员",,2,,toefl ielts,4362,2484,s:administrators,,
admission,әd'miʃәn,n. the act of admitting someone to enter\nn. an acknowledgment of the truth of something,"n. 准许进入, 入场费, 录用, 承认\n[经] 加入, 入股",,2,,gk cet4 cet6 ky toefl ielts gre,2768,3031,s:admissions,,
adolescence,.ædәu'lesәns,n. the time period between the beginning of puberty and adulthood\nn. in the state that someone is in between puberty and adulthood,"n. 青春期\n[医] 青年期, 青春期",,1,,gk ielts,8812,6897,s:adolescences,,
adopt,ә'dɒpt,"v. choose and follow; as of theories, ideas, policies, strategies or plans\nv. take up and practice as one's own\nv. take into one's family","vt. 采用, 正式通过, 收养, 接受\n[医] 采取",,4,1,gk cet4 cet6 ky toefl ielts gre,1157,1632,d:adopted/p:adopted/i:adopting/3:adopts,,
adore,ә'dɒ:,v. love intensely,"vt. 崇拜, 爱慕, 喜爱\nvi. 崇拜, 爱慕",,2,,gk cet6 ky toefl ielts gre,8708,7705,p:adored/3:adores/d:adored/i:adoring,,
adult,'ædʌlt,n. a fully developed person from maturity onward\nn. any mature animal\ns. (of animals) fully developed,"n. 成人, 成虫\na. 成年的, 成熟的",,4,1,gk cet4 ky ielts,1236,969,s:adults,,
adults,,n a fully developed person from maturity onward\nn any mature animal,n. 成年人（adult的复数形式）,,,,ielts,0,0,0:adult/1:s,,
advanced,әd'vɑ:nst,s. farther along in physical or mental development\ns. comparatively late in a course of development\ns. ahead of the times\ns. at a higher level in training or knowledge or skill,"a. 在前的, 高级的, 先进的, 年老的\n[法] 预付的, 预支的, 垫付的",,3,1,cet4 ky toefl ielts,2557,2797,0:advance/1:dp/p:advanced/d:advanced,,
advantages,,n the quality of having a superior or more favorable position\nn (tennis) first point scored after deuce\nn benefit resulting from some event or action\nv give an advantage to,n. 优势；特点；有利；[经] 利益（advantage的复数）\nv. 促进（advantage的三单形式）；有利于,,,,ielts,0,0,1:s3/0:advantage,,
advent,'ædvәnt,n. arrival that has been awaited (especially of something momentous)\nn. the season including the four Sundays preceding Christmas,"n. 来到, 来临",,1,,ky toefl ielts gre,6412,8129,s:advents,,
adverse,'ædvә:s,s. contrary to your interests or welfare\ns. in an opposing direction,"a. 不利的, 敌对的, 相反的, 逆的\n[法] 相反的, 敌对的, 逆的",,2,,cet6 ky toefl ielts gre,5120,6307,,,
advertise,'ædvәtaiz,v. call attention to\nv. make publicity for; try to sell (a product),"vt. 做广告, 通知, 公布\nvi. 做广告",,3,1,gk cet4 cet6 ky ielts gre,4085,5124,d:advertised/p:advertised/i:advertising/3:advertises,,
advertisement,.ædvә'taizmәnt,n a public promotion of some product or service,"n. 广告, 启事, 广告宣传\n[法] 广告, 公告, 告示",,2,1,zk gk cet4 ielts,3277,5957,s:advertisements,,
advertisements,,n a public promotion of some product or service,n. [经] 广告（advertisement的复数）；宣传,,,,ielts,0,0,0:advertisement/1:s,,
advertising,'ædvәtaiziŋ,n. the business of drawing public attention to goods and services,"n. 广告业, 广告\na. 广告的\n[计] 发广告",,,1,ielts,2180,2640,i:advertising/0:advertising/1:i,,
advice,әd'vais,n. a proposal for an appropriate course of action,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",,4,1,zk gk cet4 cet6 ky toefl ielts,962,1641,,,
advocate,'ædvәkeit,n. a person who pleads for a cause or propounds an idea\nn. a lawyer who pleads cases in court,"n. 提倡者, 拥护者\nvt. 主张, 提倡",,3,,gk cet4 cet6 ky toefl ielts gre,4031,2623,d:advocated/s:advocates/i:advocating/p:advocated/3:advocates,,
aerial,'єәriәl,a. existing or living or growing or operating in the air,"a. 空中的, 航空的, 空气的, 空想的\nn. 天线",,1,,cet6 ky ielts gre,7551,7339,s:aerials,,
aesthetic,i:s'θetik,n. (philosophy) a philosophical theory as to what is beautiful\na. relating to or dealing with the subject of aesthetics\na. concerning or characterized by an appreciation of beauty or good taste\ns. aesthetically pleasing,"a. 美学的, 审美的, 有美感的",,2,,cet6 ky toefl ielts gre,5161,4296,,,
affairs,,n. transactions of professional or public interest,"n. 事务, 事宜；风流韵事",,,,ielts,0,0,0:affair/1:s,,
affect,ә'fekt,n. the conscious subjective aspect of feeling or emotion\nv. have an effect upon\nv. act physically on; have an effect upon\nv. have an emotional or cognitive impact upon,"vt. 影响, 感动, 假装, 模仿, 爱好, 倾向于\nn. 自觉感情",,4,1,gk cet4 cet6 ky toefl ielts,754,963,d:affected/i:affecting/3:affects/p:affected/s:affects,,
affection,ә'fekʃәn,n. a positive feeling of liking,"n. 影响, 病, 喜爱, 情感, 倾向\n[医] 疾患, 病变, 病; 感情",,2,1,gk cet4 cet6 ky toefl ielts gre,4103,5137,s:affections,,
affiliate,ә'filieit,n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization\nn. a subsidiary or subordinate organization that is affiliated with another organization\nv. join in an affiliation,"vt. 使紧密联系, 使附属, 接纳, 收养\nvi. 发生联系, 参加",,2,,cet6 ky toefl ielts gre,14490,6929,d:affiliated/s:affiliates/i:affiliating/p:affiliated/3:affiliates,,
affirm,ә'fә:m,v. to declare or affirm solemnly and formally as true\nv. say yes to,"v. 断言, 确认",,2,,cet6 ky toefl ielts gre,7903,5714,p:affirmed/d:affirmed/i:affirming/3:affirms/s:affirms,,
affix,ә'fiks,n. a linguistic element added to a word to produce an inflected or derived form\nv. attach to\nv. attach or become attached to a stem word,"vt. 使附于, 署名, 粘贴, 盖印于\nn. 附加物, 词缀",,,,ielts gre,21256,13876,d:affixed/s:affixes/p:affixed/i:affixing/3:affixes,,
afflict,ә'flikt,v. cause great unhappiness for; distress\nv. cause physical pain or suffering in,"vt. 使苦恼, 折磨",,,,cet6 toefl ielts gre,11138,9633,d:afflicted/3:afflicts/i:afflicting/p:afflicted,,
afford,ә'fɒ:d,v. be able to spare or give up\nv. have the financial means to do something or buy something\nv. afford access to,"vt. 买得起, 足以, 给予",,3,1,zk gk cet4 cet6 ky toefl ielts,1722,1846,d:afforded/3:affords/p:afforded/i:affording,,
Africa,'æfrikә,n. the second largest continent; located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean,n. 非洲,,,,gk cet4 ielts,1250,0,,,
African,'æfrikәn,n. a native or inhabitant of Africa\na. of or relating to the nations of Africa or their peoples,"n. 非洲人\na. 非洲的, 非洲人的",,,,gk cet4 ielts,2102,1203,s:africans,,
age,eidʒ,n. how long something has existed\nn. a time of life (usually defined in years) at which some particular qualification or power arises\nv. begin to seem older; get older\nv. make older,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟",,5,1,zk gk toefl ielts,363,386,s:ages/d:aged/i:ageing/3:ages/p:aged,,
agencies,,n an administrative unit of government\nn a business that serves other businesses\nn the state of being in action or exerting power\nn the state of serving as an official and authorized delegate or agent\nn how a result is obtained or an end is achieved,n. 代理；代理处（agency的复数）,,,,ielts,0,0,0:agency/1:s,,
agency,'eidʒәnsi,n. an administrative unit of government\nn. a business that serves other businesses\nn. the state of being in action or exerting power,"n. 代理机构, 经销商, 中介\n[化] 办事处",,4,1,gk cet4 ky ielts,1036,694,s:agencies,,
agenda,ә'dʒendә,n. a temporally organized plan for matters to be attended to\nn. a list of matters to be taken up (as at a meeting),"pl. 议程, 日常工作事项\n[计] 待议事件",,3,,gk ky toefl ielts gre,3026,2130,s:agendas,,
aggravate,'ægrәveit,v make worse\nv exasperate or irritate,"vt. 使恶化, 使更严重, 加重",,1,,cet6 ky toefl ielts gre,9460,9820,d:aggravated/p:aggravated/i:aggravating/3:aggravates,,
aggregate,'ægrigәt,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster\nn. a sum total of many heterogenous things taken together\nv. amount in the aggregate to\nv. gather in a mass, sum, or whole","n. 合计, 总计, 聚集体\na. 合计的, 聚集的\nv. 聚集, 集合, 合计达\n[计] 聚合体; 聚集",,2,,toefl ielts gre,5505,12841,s:aggregates/d:aggregated/i:aggregating/3:aggregates/p:aggregated,,
aggressive,ә'gresiv,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""\ns. tending to spread quickly\ns. characteristic of an enemy or one eager to fight","a. 侵略的, 挑畔的, 进取的\n[法] 侵略的, 爱挑衅的, 行为过火的",,3,1,gk cet4 cet6 ky toefl ielts gre,3648,2514,,,
agitation,.ædʒi'teiʃәn,n. a mental state of extreme emotional disturbance\nn. a state of agitation or turbulent change or development\nn. the feeling of being agitated; not calm,"n. 激动, 焦虑, 煽动, 搅动, 摇动\n[化] 搅拌; 搅拌作用",,,,cet6 toefl ielts,8673,12905,s:agitations,,
agony,'ægәni,n. intense feelings of suffering; acute mental or physical pain\nn. a state of acute pain,"n. 极大的痛苦, 挣扎\n[医] 濒死苦闷; 剧痛",,2,,cet4 cet6 ky ielts gre,5575,7577,s:agonies,,
agreeable,ә'griәbl,a. conforming to your own liking or feelings or nature\ns. prepared to agree or consent,"a. 令人愉快的, 同意的\n[医] 佳适的",,1,,cet6 ky toefl ielts gre,9587,13667,,,
